GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.we.tournament.backend.challenge,FibonacciChallenge,5,26,1,3,1,7,2,2,1,1
backend,com.we.tournament.backend.challenge,ChallengeService,0,104,0,8,0,28,0,8,0,3
backend,com.we.tournament.backend.challenge,PalindromeChallenge,3,15,0,0,1,2,1,1,1,1
backend,com.we.tournament.backend.challenge,SortingChallenge,3,47,1,5,1,9,2,4,1,2
backend,com.we.tournament.backend.exeception,PlayerNotFoundException,0,7,0,0,0,4,0,2,0,2
backend,com.we.tournament.backend.exeception,GlobalExceptionHandler,0,67,0,0,0,13,0,3,0,3
backend,com.we.tournament.backend.exeception,TournamentNotFoundException,0,7,0,0,0,4,0,2,0,2
backend,com.we.tournament.backend.exeception,NotFoundException,4,0,0,0,2,0,1,0,1,0
backend,com.we.tournament.backend.exeception,ChallengeAlreadyExistsException,0,12,0,0,0,6,0,3,0,3
backend,com.we.tournament.backend.controller,RankingController,0,15,0,0,0,5,0,3,0,3
backend,com.we.tournament.backend.controller,PlayerController,0,34,0,0,0,9,0,6,0,6
backend,com.we.tournament.backend.controller,ChallengeController,0,49,0,0,0,10,0,2,0,2
backend,com.we.tournament.backend.controller,TournamentController,0,36,0,0,0,9,0,6,0,6
backend,com.we.tournament.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.we.tournament.backend.dto,RankingDTO,126,21,24,0,1,4,19,4,7,4
backend,com.we.tournament.backend.dto,ApiErrorDTO,0,26,0,0,0,12,0,6,0,6
backend,com.we.tournament.backend.dto,ChallengeResultDTO,81,26,16,0,0,5,12,6,4,6
backend,com.we.tournament.backend.dto,ChallengeDTO,0,45,0,0,0,13,0,13,0,13
backend,com.we.tournament.backend.dto,ChallengeRequestDTO,164,31,38,0,0,5,23,9,4,9
backend,com.we.tournament.backend.dto,PlayerDTO,98,17,22,0,0,3,15,5,4,5
backend,com.we.tournament.backend.dto,SimpleResponseDTO,4,64,3,5,0,17,3,10,0,9
backend,com.we.tournament.backend.dto,TournamentDTO,184,38,42,0,0,6,25,11,4,11
backend,com.we.tournament.backend.dto,TournamentSummaryDTO,0,46,0,0,0,20,0,10,0,10
backend,com.we.tournament.backend.dto,PlayerScoreDTO,0,36,0,0,0,16,0,8,0,8
backend,com.we.tournament.backend.dto,RankingUpdateDTO,4,72,3,5,0,18,3,10,0,9
backend,com.we.tournament.backend.service,TournamentService,0,100,0,0,0,20,0,8,0,8
backend,com.we.tournament.backend.service,ChallengeScoreService,0,34,0,0,0,12,0,4,0,4
backend,com.we.tournament.backend.service,RankingService,0,138,0,4,0,23,0,7,0,5
backend,com.we.tournament.backend.service,PlayerService,0,53,0,0,0,12,0,7,0,7
backend,com.we.tournament.backend.model,ChallengeType,0,30,0,0,0,8,0,2,0,2
backend,com.we.tournament.backend.model,Challenge,4,120,2,6,0,35,2,19,0,17
backend,com.we.tournament.backend.model,ChallengeScore,208,49,46,0,1,8,30,10,7,10
backend,com.we.tournament.backend.model,Ranking,13,85,5,5,1,23,6,10,1,10
backend,com.we.tournament.backend.model,Tournament,175,79,41,1,0,10,25,13,4,13
backend,com.we.tournament.backend.model,Player.PlayerBuilder,6,21,0,0,0,1,1,4,1,4
backend,com.we.tournament.backend.model,Tournament.TournamentBuilder,12,42,0,0,0,1,1,7,1,7
backend,com.we.tournament.backend.model,ChallengeScore.ChallengeScoreBuilder,12,42,0,0,0,1,1,7,1,7
backend,com.we.tournament.backend.model,Player,20,108,11,11,0,6,10,12,1,10
